subdistrict_code,subdistrict_name,district_code,latitude,longitude,timezone
1007,Pabuaran,13,-6.46077854,106.79855022,Asia/Jakarta
2008,Rawapanjang,13,-6.45821755,106.80953053,Asia/Jakarta
2009,Bojonggede,13,-6.48662156,106.80003476,Asia/Jakarta
2001,Leuwiliang,14,-6.56625823,106.63029031,Asia/Jakarta
2002,Purasari,14,-6.69936657,106.60137252,Asia/Jakarta
2003,Karyasari,14,-6.63822947,106.62021018,Asia/Jakarta
2004,Pabangbon,14,-6.62735237,106.59020279,Asia/Jakarta
2005,Karacak,14,-6.62031808,106.62919788,Asia/Jakarta
2006,Barengkok,14,-6.59805867,106.6355076,Asia/Jakarta
2007,Leuwimekar,14,-6.58301275,106.6330863,Asia/Jakarta
2008,Puraseda,14,-6.66720004,106.59726095,Asia/Jakarta
2009,Cibeber I,14,-6.57589476,106.61932529,Asia/Jakarta
2010,Cibeber II,14,-6.60139954,106.61612595,Asia/Jakarta
2011,Karehkel,14,-6.54941742,106.63469743,Asia/Jakarta
2001,Ciampea,15,-6.54281679,106.68917403,Asia/Jakarta
2002,Cinangka,15,-6.59185516,106.70013812,Asia/Jakarta
2003,Cihideungudik,15,-6.58165047,106.7156183,Asia/Jakarta
2004,Bojongjengkol,15,-6.57479916,106.70976574,Asia/Jakarta
2005,Tegalwaru,15,-6.572906,106.69860951,Asia/Jakarta
2006,Cibuntu,15,-6.5942141,106.68509387,Asia/Jakarta
2007,Cicadas,15,-6.57856306,106.68304994,Asia/Jakarta
2008,Cibadak,15,-6.55980766,106.68737008,Asia/Jakarta
2009,Bojongrangkas,15,-6.56012159,106.69507826,Asia/Jakarta
2010,Cihideunghilir,15,-6.57004667,106.72200937,Asia/Jakarta
2011,Cibanteng,15,-6.55662412,106.71125964,Asia/Jakarta
2012,Benteng,15,-6.54619596,106.7029028,Asia/Jakarta
2013,Ciampea Udik,15,-6.61193522,106.68299221,Asia/Jakarta
2001,Situ Udik,16,-6.61895634,106.65197243,Asia/Jakarta
2002,Situ Ilir,16,-6.60263238,106.65341812,Asia/Jakarta
2003,Cemplang,16,-6.57899883,106.64842027,Asia/Jakarta
2004,Cibatok I,16,-6.58162783,106.66588456,Asia/Jakarta
2005,Ciaruteun Udik,16,-6.60419139,106.67400207,Asia/Jakarta
2006,Leuweungkolot,16,-6.55920463,106.67475439,Asia/Jakarta
2007,Cimanggu I,16,-6.56216889,106.66555104,Asia/Jakarta
2008,Cimanggu II,16,-6.56959189,106.6617376,Asia/Jakarta
2009,Dukuh,16,-6.56567074,106.65290429,Asia/Jakarta
2010,Cijujung,16,-6.55090381,106.65388289,Asia/Jakarta
2011,Ciaruteun Ilir,16,-6.54032144,106.67529073,Asia/Jakarta
2012,Cibatok II,16,-6.59265584,106.66727442,Asia/Jakarta
2013,Sukamaju,16,-6.5888061,106.65331799,Asia/Jakarta
2014,Galuga,16,-6.5654597,106.6422413,Asia/Jakarta
2015,Girimulya,16,-6.57053257,106.67667536,Asia/Jakarta
