"forecast_id","subdistrict_id","utc_datetime","local_datetime","time_index","analysis_date","weather_condition_id","wind_direction_degrees","wind_direction","wind_direction_to","wind_speed","temperature","cloud_cover_percentage","precipitation_probability","humidity","visibility_meters","visibility_text","created_at","updated_at"
1227,3,2025-07-21 14:00:00.000,2025-07-21 21:00:00.000,"61-62",2025-07-19 00:00:00.000,2,24,N,S,2.90,26.00,61,0.00,72,9009,< 10 km,2025-07-19 13:56:54.303,2025-07-19 13:56:54.303
1228,4,2025-07-20 17:00:00.000,2025-07-21 00:00:00.000,"40-41",2025-07-19 00:00:00.000,1,201,S,N,5.90,25.00,45,0.00,79,9000,< 10 km,2025-07-19 13:57:24.339,2025-07-19 13:57:24.339
1231,4,2025-07-21 02:00:00.000,2025-07-21 09:00:00.000,"49-50",2025-07-19 00:00:00.000,0,98,E,W,3.70,29.00,1,0.00,57,9007,< 10 km,2025-07-19 13:58:24.351,2025-07-19 13:58:24.351
1232,4,2025-07-21 08:00:00.000,2025-07-21 15:00:00.000,"55-56",2025-07-19 00:00:00.000,1,75,NE,SW,4.20,32.00,47,0.00,45,8985,< 9 km,2025-07-19 13:59:54.458,2025-07-19 13:59:54.458
1234,4,2025-07-21 14:00:00.000,2025-07-21 21:00:00.000,"61-62",2025-07-19 00:00:00.000,2,24,N,S,2.90,26.00,81,0.00,73,9009,< 10 km,2025-07-19 14:00:56.269,2025-07-19 14:00:56.269
1239,6,2025-07-19 08:00:00.000,2025-07-19 15:00:00.000,"7-8",2025-07-19 00:00:00.000,1,106,E,W,8.50,32.00,41,0.00,48,8996,< 9 km,2025-07-19 14:01:56.350,2025-07-19 14:01:56.350
1240,6,2025-07-19 11:00:00.000,2025-07-19 18:00:00.000,"10-11",2025-07-19 00:00:00.000,3,7,N,S,3.70,27.00,100,0.00,77,8986,< 9 km,2025-07-19 14:02:27.211,2025-07-19 14:02:27.211
1245,6,2025-07-20 02:00:00.000,2025-07-20 09:00:00.000,"25-26",2025-07-19 00:00:00.000,1,347,NW,SE,3.00,29.00,21,0.00,59,9006,< 10 km,2025-07-19 14:03:27.280,2025-07-19 14:03:27.280
1246,5,2025-07-19 17:00:00.000,2025-07-20 00:00:00.000,"16-17",2025-07-19 00:00:00.000,3,189,S,N,4.40,24.00,100,0.00,83,9015,< 10 km,2025-07-19 14:04:30.714,2025-07-19 14:04:30.714
1248,5,2025-07-19 23:00:00.000,2025-07-20 06:00:00.000,"22-23",2025-07-19 00:00:00.000,3,184,S,N,6.60,24.00,91,0.00,81,8997,< 9 km,2025-07-19 14:05:31.980,2025-07-19 14:05:31.980
1251,5,2025-07-20 08:00:00.000,2025-07-20 15:00:00.000,"31-32",2025-07-19 00:00:00.000,1,182,S,N,6.30,33.00,52,0.00,38,9013,< 10 km,2025-07-19 14:06:02.034,2025-07-19 14:06:02.034
1252,5,2025-07-20 11:00:00.000,2025-07-20 18:00:00.000,"34-35",2025-07-19 00:00:00.000,1,346,NW,SE,5.20,27.00,26,0.00,74,8995,< 9 km,2025-07-19 14:06:34.289,2025-07-19 14:06:34.289
1254,5,2025-07-20 20:00:00.000,2025-07-21 03:00:00.000,"43-44",2025-07-19 00:00:00.000,1,180,S,N,1.90,25.00,34,0.00,81,8994,< 9 km,2025-07-19 14:07:35.265,2025-07-19 14:07:35.265
1256,5,2025-07-21 02:00:00.000,2025-07-21 09:00:00.000,"49-50",2025-07-19 00:00:00.000,0,98,E,W,3.70,29.00,1,0.00,57,9007,< 10 km,2025-07-19 14:08:05.881,2025-07-19 14:08:05.881
1274,6,2025-07-21 14:00:00.000,2025-07-21 21:00:00.000,"61-62",2025-07-19 00:00:00.000,2,357,NW,SE,2.20,26.00,86,0.00,75,9009,< 10 km,2025-07-19 14:13:47.954,2025-07-19 14:13:47.954
1275,7,2025-07-19 08:00:00.000,2025-07-19 15:00:00.000,"7-8",2025-07-19 00:00:00.000,1,92,E,W,5.30,32.00,40,0.00,46,8996,< 9 km,2025-07-19 14:14:17.975,2025-07-19 14:14:17.975
1277,7,2025-07-19 17:00:00.000,2025-07-20 00:00:00.000,"16-17",2025-07-19 00:00:00.000,3,189,S,N,4.40,24.00,100,0.00,83,9015,< 10 km,2025-07-19 14:14:48.050,2025-07-19 14:14:48.050
1279,7,2025-07-19 20:00:00.000,2025-07-20 03:00:00.000,"19-20",2025-07-19 00:00:00.000,1,188,S,N,5.00,23.00,58,0.00,87,8988,< 9 km,2025-07-19 14:15:18.085,2025-07-19 14:15:18.085
1717,1,2025-07-20 23:00:00.000,2025-07-21 06:00:00.000,"46-47",2025-07-19 00:00:00.000,0,98,E,W,3.70,26.00,10,0.00,76,9007,< 10 km,2025-07-19 16:43:24.630,2025-07-19 16:43:24.630
